adult,movie_id,original_language,popularity,revenue,runtime,status,title,vote_average,vote_count,genre,lang,company_name,movie_country,release_year
False,1084736,fr,276.783,75360860,178,Released,The Count of Monte Cristo,8.078,1313,Action,French,Chapter 2,FR,2024
False,7451,en,275.175,277448382,124,Released,xXx,5.9,4326,Action,Czech,Columbia Pictures,US,2002
False,395817,en,269.332,0,108,Released,The Thicket,6.2,54,Crime,English,Tubi,US,2024
False,1410082,en,266.388,0,99,Released,Sniper: The Last Stand,6.313,16,Action,English,Destination Films,US,2025
False,1397854,it,262.988,0,101,Released,The Love Scam,6.5,84,Comedy,Italian,HT Film,IT,2025
False,1299652,en,259.531,0,89,Released,Watchmen: Chapter II,7.4,83,Animation,English,Warner Bros. Animation,US,2024
False,1097549,en,258.089,31141381,114,Released,Babygirl,5.8,150,Drama,English,A24,US,2024
False,1011985,en,257.278,548040835,94,Released,Kung Fu Panda 4,7.09,2916,Animation,English,DreamWorks Animation,US,2024
False,1164355,id,256.425,0,123,Released,Lembayung,7.8,6,Horror,Indonesian,MNC Pictures,ID,2024
False,829557,pl,255.097,0,111,Released,365 Days: This Day,5.886,1589,Romance,English,Ekipa,PL,2022
False,1202565,es,254.679,0,80,Released,No salgas,8.8,4,Thriller,Spanish,Stan Productions,AR,2023
False,1100099,en,252.362,37182814,108,Released,We Live in Time,7.5,543,Romance,English,Film4 Productions,GB,2024
False,1267217,ru,247.506,0,103,Released,Sugar Baby,6.6,7,Romance,Russian,Andreevskaya 5,RU,2024
False,791042,en,246.702,0,92,Released,Levels,5.5,49,Action,English,Farpoint Films,US,2024
False,549509,en,246.561,7201709,215,Released,The Brutalist,4.9,82,Drama,English,Brookstreet Pictures,US,2024
False,1155095,en,246.312,0,120,Released,The Moor,5.328,32,Horror,English,Nuclear Tangerine,US,2024
False,426889,fr,244.805,0,3,Released,Le clitoris,6.1,11,Animation,French,Mel Hoppenheim School of Cinema,CA,2016
False,957452,en,242.194,24109036,111,Released,The Crow,5.864,915,Action,English,Davis Films,US,2024
False,1171640,fr,241.133,0,100,Released,GTMAX,6.022,112,Action,French,Inoxy Films,FR,2024
False,1357459,tl,240.093,0,61,Released,Tatsulok: Tatlo Magkasalo,6.2,4,Drama,Tagalog,Vivamax,PH,2024
False,637649,en,237.527,103966489,118,Released,Wrath of Man,7.63,5419,Crime,English,Miramax,US,2021
False,324568,ja,237.519,0,43,Released,Delinquent in Drag,4.0,6,Animation,Japanese,Studio Signal Club,JP,1992
