movie_id,lang
2062,English
414906,English
1079485,English
1154223,French
1221404,Japanese
674,English
674,French
438631,Mandarin
438631,English
19995,English
19995,Spanish
575264,French
575264,English
575264,Italian
575264,Russian
138843,English
507086,English
370663,English
862,English
843527,English
580489,Spanish
580489,English
926393,English
926393,Italian
926393,Portuguese
1389038,English
22,English
1087822,English
1215162,Ido
1215162,English
829560,English
829560,Italian
829560,Polish
1328814,English
974262,English
972614,English
177572,English
818647,Spanish
1139566,Spanish
585,English
1288998,Spanish
1047373,English
437342,English
437342,Italian
1151949,English
1151949,Indonesian
1151949,Mandarin
1151949,Japanese
122917,English
673,English
14836,English
14836,Spanish
412656,English
48650,Basque
48650,Italian
48650,Russian
48650,Spanish
48650,English
1066262,English
537915,English
1096197,English
27205,English
27205,French
27205,Japanese
27205,Swahili
923667,Cantonese
923667,Japanese
746036,English
1329336,English
106646,English
106646,French
707610,Korean
1072790,English
12444,English
1147400,French
346698,English
1252470,Hindi
603,English
354912,English
354912,Spanish
1306764,English
1306764,Tagalog
1412569,Tagalog
755679,English
299534,English
299534,Japanese
299534,Xhosa
807,English
156022,English
566525,English
566525,Mandarin
787699,English
447365,English
1232449,Dutch
1232449,French
1404380,Malayalam
809,English
615656,English
335984,English
335984,Finnish
335984,Hungarian
335984,Japanese
335984,Russian
335984,Somali
335984,Spanish
947891,English
661539,English
1142518,French
12445,English
557,English
38757,English
940721,English
940721,Japanese
850439,English
1055110,Japanese
12,English
675,English
680,English
680,Spanish
680,French
568124,English
568124,Spanish
324786,Japanese
324786,English
228150,English
228150,German
228150,Spanish
1389147,English
1389147,Spanish
1326059,Spanish
197158,Portuguese
11036,English
587727,Korean
550,English
150540,English
1087421,Spanish
99861,English
109445,English
962319,French
976573,English
11324,English
11324,German
944401,English
944401,Spanish
466282,English
1255208,English
76341,English
1041613,English
1041613,Italian
1104844,Japanese
497,French
497,English
546554,Spanish
546554,English
799583,English
799583,German
767,English
937287,English
937287,Romanian
715287,Korean
72190,English
559,English
559,French
949484,English
18785,English
1149913,Indonesian
877817,Croatian
877817,English
8681,English
8681,French
8681,Arabic
8681,Albanian
592831,English
592831,Latin
1726,English
1726,Persian
1726,Urdu
1726,Arabic
928480,English
324857,English
324857,Japanese
