adult,backdrop_path,belongs_to_collection,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count
False,/krYelh3x8VdSeAqOSd81NTek1aw.jpg,False,22000000,,1607,tt0106489,en,A Bronx Tale,"Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction - forbidden in his neighborhood - for a beautiful black girl.",67.859,/sDbO6LmLYtyqAoFTPpRcMgPSCEO.jpg,1993-10-01,17287898,121,Released,"One man lives in the neighborhood, another man owns it. A devoted father battles the local crime boss for the life of his son.",A Bronx Tale,False,7.856,2522
False,/ddIkmH3TpR6XSc47jj0BrGK5Rbz.jpg,False,150000000,http://www.dunkirkmovie.com/,374720,tt5013056,en,Dunkirk,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",67.845,/b4Oe15CGLL61Ped0RAS9JpqdmCt.jpg,2017-07-19,527000000,107,Released,"When 400,000 men couldn't get home, home came for them.",Dunkirk,False,7.452,16566
False,/7pa3mMBIHJXPJantNvlbyNVI5a1.jpg,False,0,,1373893,tt34136720,es,Joni pata de conejo,,67.813,/a3nKPtKs7SRB6bdlaxPbD7f7eKJ.jpg,2024-10-11,0,0,Released,,Joni pata de conejo,False,7.143,14
False,/aPEhtVLrZRnJufKHwbHgqwirv7J.jpg,Wonder Woman Collection,149000000,https://www.warnerbros.com/movies/wonder-woman,297762,tt0451279,en,Wonder Woman,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,67.799,/v4ncgZjG2Zu8ZW5al1vIZTsSjqX.jpg,2017-05-30,823970682,141,Released,Power. Grace. Wisdom. Wonder.,Wonder Woman,False,7.2,20029
False,/5OOYy7YpnwWxZAx8enpwRLIIRR8.jpg,False,0,https://protagonistpictures.com/film/the-outrun/,785542,tt11687002,en,The Outrun,"Fresh out of rehab, Rona returns to the Orkney Islands—a place both wild and beautiful, right off the Scottish coast. Now 29 and after more than a decade of living life on the edge in London, where she both found and lost love, Rona attempts to come to terms with her troubled past. As she reconnects with the dramatic landscape where she grew up, memories of her traumatic childhood merge with more recent challenging events that have set her on the path to recovery.",67.776,/zfRR2CkbvYrLuOPQFm8vBaENyMy.jpg,2024-09-27,3983828,118,Released,,The Outrun,False,6.955,134
False,/pvxmYJcgrLiYC6G2IQTn1PPNems.jpg,False,200000000,http://www.sonypictures.com/movies/2012,14161,tt1190080,en,2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",67.714,/zaqam2RNscH5ooYFWInV6hjx6y5.jpg,2009-10-10,791217826,158,Released,We Were Warned.,2012,False,5.847,11993
False,/dokxGcoM0of5YmGirhe77MH2TxC.jpg,False,0,,1280655,,en,VIRGO,Three young people recall the story of how they got into trouble.,67.702,/woUv6BNxjxXQZmL91C8m6Qk8JKg.jpg,2021-04-14,0,6,Released,Proof of concept.,VIRGO,False,6.2,6
False,/kIdVR0sZEEbuxNv3xjs5TKNOptS.jpg,Scary Movie Collection,48000000,,4256,tt0306047,en,Scary Movie 3,"In the third installment of the Scary Movie franchise, news anchorwoman Cindy Campbell has to investigate mysterious crop circles and killing video tapes, and help the President stop an alien invasion in the process.",67.698,/9hxL94pzuix9GWwba8dr4luINyo.jpg,2003-10-24,220673217,84,Released,Great trilogies come in threes.,Scary Movie 3,False,6.0,4103
False,/s974GBBFZ1I4SlZHFu2XIffk1dv.jpg,One Piece Collection,0,https://www.onepiece-filmred.com,900667,tt16183464,ja,ONE PIECE FILM RED,"Uta — the most beloved singer in the world. Her voice, which she sings with while concealing her true identity, has been described as “otherworldly.” She will appear in public for the first time at a live concert. As the venue fills with all kinds of Uta fans — excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance — the voice that the whole world has been waiting for is about to resound.",67.605,/ogDXuVkO92GcETZfSofXXemw7gb.jpg,2022-08-06,150797338,115,Released,An almighty voice. With fiery red locks.,One Piece Film Red,False,7.2,1029
False,/lyHmhoRj3zXSdeCYbs2oOXLCF4K.jpg,False,5000000,https://mavka.ua,459003,tt6685538,uk,Мавка: Лісова пісня,"Mavka, a Soul of the Forest, faces an impossible choice between love and her duty as Guardian of the Heart of the Forest when she falls for a human, a talented young musician named Lukas.",67.557,/eeJjd9JU2Mdj9d7nWRFLWlrcExi.jpg,2023-03-02,17974964,99,Released,,Mavka: The Forest Song,False,7.244,761
False,/sTgavNm82pTaZR9U2NQZ1J2FrJz.jpg,False,25000000,,788,tt0107614,en,Mrs. Doubtfire,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as a British nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",67.518,/shHrSmXS5140o6sQzgzXxn3KqSm.jpg,1993-11-24,441286195,125,Released,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.,Mrs. Doubtfire,False,7.191,6149
False,/xXHZeb1yhJvnSHPzZDqee0zfMb6.jpg,The Fast and the Furious Collection,200000000,https://www.uphe.com/movies/f9-the-fast-saga,385128,tt5433138,en,F9,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,67.489,/deEmLILTPejEb6OGsXRJ5MCvyDW.jpg,2021-05-19,726229501,143,Released,Not all blood is family.,F9,False,7.1,7261
False,/7MXxVfzj77qA6aV3cOnj1AZnyDg.jpg,False,0,,390845,tt6077598,ko,맛있는 비행,"An innocent actress runs away from the scandal with an idol, the impudent idol that ruined her career, a passionate manager who is devoted to her and his ex-girlfriend who is now a sexy stewardess. These four that should never be together run into each other in an airplane. No one can run away and the most cheeky and erotic things happen here.",67.438,/xLZQdhtdQasK2LwD86xhwe19pYG.jpg,2015-11-01,0,97,Released,The in-flight service for Hong Kong starts now!  An erotic story that took place in the spacious blue sky!,A Delicious Flight,False,4.344,61
