movie_id,company_name,country
748783,Andrews McMeel Entertainment,US
748783,John Cohen Productions,US
299536,Marvel Studios,US
840705,Metro-Goldwyn-Mayer,US
840705,Free Association,US
840705,This Is Important,US
840705,Bold Choices,US
653346,20th Century Studios,US
653346,Oddball Entertainment,US
653346,Jason T. Reed Productions,US
671,Warner Bros. Pictures,US
671,Heyday Films,GB
671,1492 Pictures,US
51482,Madhouse,JP
995803,Mahal Empire,
1059128,Fremantle,US
1059128,The Apartment Pictures,IT
1059128,Frenesy Film,IT
922806,Yostar Pictures,JP
1084863,Phase 4 Productions,FR
1084863,Place du Marché Productions,FR
1084863,uMedia,BE
1084863,Star Invest Films Production,
1084863,Région Grand Est,
1084863,Amazon Studios France,FR
1084863,OCS,FR
1084863,uFund,BE
1084863,France Télévisions,FR
1084863,Palatine Étoile 8,
1084863,SG Image 2021,
1084863,Conseil Département Du Loir-Et-Cher,FR
1084863,CNC,FR
1084863,WTFilms,FR
1084863,Dark Sky Films,US
98,Universal Pictures,US
98,Scott Free Productions,GB
98,Red Wagon Entertainment,US
98,Mill Film,GB
98,DreamWorks Pictures,US
762441,Paramount Pictures,US
762441,Platinum Dunes,US
762441,Sunday Night Productions,US
85,Paramount Pictures,US
85,Lucasfilm Ltd.,US
153104,Hearst Entertainment Productions,US
153104,JB Media,
153104,Incendo Productions,CA
1371727,Illumination,US
1371727,Universal Pictures,US
420818,Walt Disney Pictures,US
420818,Fairview Entertainment,US
429,United Artists,US
429,PEA,IT
429,Arturo González PC,ES
429,Constantin Film,DE
1216191,Keeper Pictures,IE
1216191,Nowhere,US
1216191,Shudder,US
940551,Universal Pictures,US
940551,Illumination,US
866398,Miramax,US
866398,Cedar Park Entertainment,US
866398,Punch Palace Productions,GB
592695,Film i Väst,SE
592695,Flamboyance Films,
592695,Lemming Film,NL
592695,Plattform Produktion,SE
592695,SVT,SE
592695,Logical Pictures,FR
592695,Grand Slam Film Production,SE
592695,SF Studios,SE
942890,SSS Entertainment,US
1401586,Paramount Pictures,US
1401586,Original Film,US
1401586,Blur Studio,US
1401586,Marza Animation Planet,JP
1401586,SEGA,JP
1401586,SEGA of America,US
1016848,A24,US
1016848,2AM,US
1016848,Two & Two Pictures,GB
726139,Blaad Studios,KR
726139,CJ ENM,KR
726139,CJ ENM Studios,KR
726139,CJ Entertainment,KR
639720,Paramount Pictures,US
639720,Sunday Night Productions,US
639720,Maximum Effort,US
786892,Warner Bros. Pictures,US
786892,Kennedy Miller Mitchell,AU
786892,Domain Entertainment,US
1126166,Davis Entertainment,US
1126166,Icon Productions,US
1126166,Hammerstone Studios,US
1126166,Lionsgate,US
1126166,Media Capital Technologies,US
1147710,Perfect Storm Film,KR
1147710,Channel Plus,KR
603692,Thunder Road,US
603692,87Eleven,US
603692,Studio Babelsberg,DE
603692,Lionsgate,US
1125510,Basque Films,ES
1354627,United Plankton Pictures,US
1354627,Nickelodeon Animation Studio,US
1354627,Nickelodeon Productions,US
1287717,FilmSharks International,AR
1287717,Urban Achievers,PY
929590,DNA Films,GB
929590,IPR.VC,FI
929590,A24,US
1064028,Millennium Media,US
1064028,Campbell Grobman Films,US
1064028,XYZ Films,US
634649,Marvel Studios,US
634649,Pascal Pictures,US
634649,Columbia Pictures,US
1165466,StudioCanal,FR
1165466,Borsalino Productions,FR
1165466,WAG Prod,FR
1165466,Fasten Films,ES
1001028,Agat Films & Cie / Ex Nihilo,FR
1001028,Memento Films Production,FR
1001028,France 3 Cinéma,FR
1001028,Panache Productions,BE
1001028,La Compagnie Cinématographique,BE
1296753,Cyfuno Ventures,
1296753,Outlaw Films,
68555,Madhouse,JP
68555,Nippon Television Network Corporation,JP
68555,D.N. Dream Partners,JP
68555,VAP,JP
68555,Shueisha,JP
889737,Warner Bros. Pictures,US
889737,Joint Effort,US
889737,Domain Entertainment,US
278,Castle Rock Entertainment,US
120,New Line Cinema,US
120,WingNut Films,NZ
120,The Saul Zaentz Company,US
597,Paramount Pictures,US
597,20th Century Fox,US
597,Lightstorm Entertainment,US
1144962,The Asylum,US
1111873,Project X Entertainment,US
1111873,Radio Silence Productions,US
1111873,Universal Pictures,US
1111873,Vinson Films,US
1116490,Convergence Entertainment,US
1116490,BondIt Media Capital,US
1116490,Transparency Media,
1116490,Streamline Global,US
1106739,Warner Bros. Pictures,US
1106739,Malpaso Productions,US
1106739,Dichotomy Films,US
216015,Universal Pictures,US
216015,Focus Features,US
216015,Michael De Luca Productions,US
216015,Trigger Street Productions,US
1079091,Columbia Pictures,US
1079091,Wayfarer Studios,US
1079091,Saks Picture Company,US
198663,Ingenious Media,GB
198663,The Gotham Group,US
198663,Dayday Films,GB
198663,Temple Hill Entertainment,US
198663,TSG Entertainment,US
198663,20th Century Fox,US
1181863,Canary Film Factory,
1181863,Virtual World Pictures,
1181863,EPC Media,
976734,Anton Capital Entertainment,GB
976734,Sentient Entertainment,US
976734,Brickell & Broadbridge International,US
976734,Off The Pier Productions,US
667538,Skydance Media,US
667538,Paramount Pictures,US
667538,di Bonaventura Pictures,US
667538,Bay Films,US
667538,New Republic Pictures,US
667538,DeSanto/Murphy Productions,US
667538,Hasbro,US
569094,Columbia Pictures,US
569094,Sony Pictures Animation,US
569094,Lord Miller,US
569094,Pascal Pictures,US
569094,Arad Productions,US
569094,Marvel Entertainment,US
1063877,Capstone Studios,US
1063877,Hammerstone Studios,US
1063877,Raimi Productions,US
814889,Lionsgate,US
814889,21 Laps Entertainment,US
814889,Media Capital Technologies,US
